period	AA	TT	CC	GG	SS	WW	RR	YY	sample	condition
10.700000	0.015692	0.008260	0.005447	0.011238	0.028220	0.008066	0.011117	0.011017	21	apoptotic
10.800000	0.018593	0.009612	0.005583	0.012149	0.024202	0.006263	0.006906	0.006839	21	apoptotic
10.900000	0.017492	0.012221	0.005249	0.009881	0.014588	0.003725	0.008893	0.003620	21	apoptotic
9.500000	0.006747	0.007476	0.015397	0.015577	0.006344	0.032668	0.012386	0.006481	22	apoptotic
9.600000	0.007241	0.013604	0.014692	0.020658	0.010547	0.030180	0.012035	0.002714	22	apoptotic
9.700000	0.009058	0.014055	0.010790	0.018827	0.014539	0.016886	0.005579	0.004570	22	apoptotic
9.800000	0.007909	0.008686	0.007851	0.010536	0.013825	0.002940	0.005649	0.005804	22	apoptotic
9.900000	0.003123	0.004448	0.006196	0.002373	0.009044	0.008134	0.012941	0.003795	22	apoptotic
10.000000	0.004189	0.010562	0.002975	0.008342	0.006566	0.007463	0.016662	0.006432	22	apoptotic
10.100000	0.008903	0.013429	0.004152	0.011062	0.011556	0.003646	0.017789	0.013635	22	apoptotic
10.200000	0.010875	0.010505	0.010351	0.010041	0.015807	0.010356	0.017359	0.019584	22	apoptotic
10.300000	0.010683	0.003631	0.015104	0.007929	0.015962	0.014265	0.013929	0.021956	22	apoptotic
10.400000	0.009540	0.003672	0.017087	0.007701	0.011743	0.012204	0.008063	0.020521	22	apoptotic
10.500000	0.007763	0.007459	0.016437	0.010652	0.005067	0.006404	0.009425	0.016968	22	apoptotic
10.600000	0.007019	0.006351	0.014124	0.014760	0.005813	0.003434	0.016255	0.013533	22	apoptotic
10.700000	0.010554	0.003005	0.011341	0.017490	0.011648	0.005373	0.019148	0.010687	22	apoptotic
10.800000	0.015560	0.008220	0.008978	0.017260	0.014348	0.004300	0.016162	0.006944	22	apoptotic
10.900000	0.018399	0.014156	0.007788	0.014006	0.013146	0.000370	0.009052	0.001702	22	apoptotic
9.500000	0.005002	0.005488	0.003641	0.003094	0.012312	0.002838	0.024851	0.021015	23	apoptotic
9.600000	0.003423	0.010262	0.009177	0.000864	0.006329	0.006764	0.017506	0.017616	23	apoptotic
9.700000	0.003750	0.011578	0.009160	0.003315	0.008958	0.010282	0.006707	0.007245	23	apoptotic
9.800000	0.006409	0.008982	0.007076	0.006881	0.022366	0.010145	0.005348	0.006763	23	apoptotic
9.900000	0.010529	0.004945	0.009451	0.007477	0.031014	0.005997	0.009868	0.015100	23	apoptotic
10.000000	0.012972	0.004270	0.011588	0.004949	0.032905	0.004202	0.009521	0.016888	23	apoptotic
10.100000	0.011822	0.006554	0.009378	0.002277	0.029742	0.008111	0.006276	0.012190	23	apoptotic
10.200000	0.007925	0.008192	0.003649	0.003869	0.025516	0.008377	0.003950	0.004076	23	apoptotic
10.300000	0.004388	0.008314	0.003203	0.005248	0.022439	0.005456	0.002890	0.004362	23	apoptotic
10.400000	0.004076	0.006418	0.009230	0.008191	0.019543	0.009571	0.000243	0.009809	23	apoptotic
10.500000	0.003652	0.002537	0.014158	0.013528	0.014751	0.016907	0.004072	0.011366	23	apoptotic
10.600000	0.001595	0.002399	0.017971	0.018130	0.007426	0.020804	0.007628	0.008989	23	apoptotic
10.700000	0.000662	0.006601	0.019888	0.019534	0.004834	0.019682	0.008469	0.003813	23	apoptotic
10.800000	0.001303	0.008507	0.018848	0.017197	0.014109	0.014760	0.005964	0.003062	23	apoptotic
10.900000	0.000607	0.007466	0.014737	0.012582	0.022421	0.009192	0.003585	0.008326	23	apoptotic
9.500000	0.009865	0.010154	0.001147	0.001419	0.011540	0.002014	0.008547	0.007873	24	apoptotic
9.600000	0.015792	0.012630	0.005624	0.011180	0.007965	0.004403	0.011347	0.007354	24	apoptotic
9.700000	0.014741	0.009042	0.008546	0.013736	0.005286	0.012231	0.011264	0.007975	24	apoptotic
9.800000	0.008034	0.004885	0.010329	0.011262	0.012230	0.019455	0.008751	0.012651	24	apoptotic
9.900000	0.000958	0.005271	0.011453	0.012840	0.016284	0.023259	0.004009	0.014056	24	apoptotic
10.000000	0.003624	0.005393	0.012372	0.017465	0.014501	0.022266	0.001645	0.009891	24	apoptotic
10.100000	0.004727	0.006319	0.013203	0.017978	0.008620	0.017059	0.005917	0.004260	24	apoptotic
10.200000	0.008531	0.009140	0.013895	0.013552	0.002626	0.010908	0.006860	0.007930	24	apoptotic
10.300000	0.012721	0.010080	0.013778	0.006894	0.001640	0.007623	0.004324	0.010519	24	apoptotic
10.400000	0.013247	0.007825	0.012141	0.002700	0.005407	0.006578	0.002263	0.007930	24	apoptotic
10.500000	0.009429	0.004627	0.008667	0.003644	0.010981	0.004188	0.005725	0.002134	24	apoptotic
10.600000	0.004070	0.005490	0.003589	0.004144	0.015890	0.000752	0.007600	0.005671	24	apoptotic
10.700000	0.004628	0.007331	0.002328	0.006388	0.017419	0.003547	0.006754	0.009982	24	apoptotic
10.800000	0.006086	0.006828	0.007919	0.010267	0.014668	0.005196	0.004730	0.010532	24	apoptotic
10.900000	0.003584	0.004569	0.011966	0.013127	0.008926	0.004266	0.005446	0.007703	24	apoptotic
9.500000	0.006765	0.005967	0.010540	0.011126	0.009692	0.017584	0.006646	0.008821	25	apoptotic
9.600000	0.006220	0.009071	0.007305	0.006785	0.008130	0.012800	0.005697	0.004805	25	apoptotic
9.700000	0.004327	0.013406	0.006908	0.005823	0.003809	0.004447	0.008236	0.006598	25	apoptotic
9.800000	0.008589	0.012858	0.012946	0.013515	0.004630	0.008157	0.014783	0.014122	25	apoptotic
9.900000	0.013434	0.010114	0.015736	0.015239	0.007064	0.014024	0.018129	0.017731	25	apoptotic
10.000000	0.015831	0.010683	0.012445	0.010622	0.007347	0.015054	0.015601	0.016261	25	apoptotic
